360, 140, 25, 5, 0.2, 0
:
650, 400, 50
:
25, 8
0, 1, 2, 3, 7, 8
:
325, 300, 100, 25, 0
500, 300, 2350, 25, 0
575, 250, 150, 50, 0
800, -25, 25, 260, 0
2600, 250, 250, 50, 0
2600, -25, 1000, 150, 0
0, 475, 3500, 50, 0
2600, 450, 25, 25, 0
2400, 400, 25, 75, 0
1600, 450, 25, 25, 0
1200, 425, 25, 50, 0
800, 400, 25, 75, 0
500, 325, 25, 150, 0
3075, 125, 100, 350, 0
1000, 275, 25, 25, 1
1600, 225, 25, 75, 1
2000, 450, 25, 25, 1
1200, 325, 25, 25, 1
1900, 0, 25, 300, 4
-100, -100, 460, 680, 2
2800, -100, 460, 680, 2
-100, -100, 3800, 680, 3
:
